"square","start","region"
5.7206,3662.16,"Хмельницька область"
44.7546,52520.72,"Волинська область"
3.547,3383.74,"Полтавська область"
3.0106,834.24,"Харківська область"
2.42,2087.01,"Тернопільська область"
16.4697,13360,"Одеська область"
20.2401,44936.37,"Херсонська область"
0.1059,7016.51,"Львівська область"
40.0009,83600,"Кіровоградська область"
15.2258,7700,"Одеська область"
13.4455,3403.38,"Житомирська область"
18.9029,35900.61,"Миколаївська область"
3.8561,846.19,"Чернігівська область"
17.5957,58411.4,"Черкаська область"
25,27157.58,"Вінницька область"
2.3005,8373.46,"Черкаська область"
6,5747.33,"Вінницька область"
9.7026,31431.61,"Івано-Франківська область"
24.0002,41742.57,"Кіровоградська область"
0.1,2459.79,"Івано-Франківська область"
6.0462,8260,"Одеська область"
31.9277,131649.94,"Хмельницька область"
4.1374,13165.02,"Черкаська область"
26,32307.32,"Донецька область"
0.013,9979.24,"Херсонська область"
1,835.7,"Тернопільська область"
5.561,1541.76,"Тернопільська область"
22.6153,33375.48,"Чернігівська область"
7.8011,2917.36,"Волинська область"
50.7829,21976.16,"Запорізька область"
5.2697,729.96,"Львівська область"
0.06,23330.4,"Сумська область"
18.1152,20773.94,"Чернігівська область"
11.8,15513.22,"Львівська область"
12.76,12747.79,"Івано-Франківська область"
8.3872,25161.93,"Миколаївська область"
0.06,2550,"Волинська область"
20.5298,20804.6,"Хмельницька область"
0.8501,356570.2,"Одеська область"
36.0476,75150,"Одеська область"
5,1520.65,"Львівська область"
24.4599,17419.14,"Черкаська область"
4.0582,14689.83,"Сумська область"
9,9247,"Чернігівська область"
1,713.28,"Черкаська область"
3.603,988.96,"Тернопільська область"
25.1626,1945.11,"Рівненська область"
0.15,71464.67,"Кіровоградська область"
5.0336,1887.29,"Черкаська область"
12.7205,15287.67,"Чернігівська область"
0.0777,14640.54,"Черкаська область"
5.6368,9470.44,"Хмельницька область"
0.04,8391.44,"Львівська область"
23.283,46690,"Одеська область"
1.0623,338.73,"Житомирська область"
2.9468,13772.52,"Черкаська область"
0.1568,16895.25,"Хмельницька область"
3.2951,3815.56,"Сумська область"
1.1093,2060.78,"Харківська область"
40.6207,74770.26,"Чернігівська область"
2.8198,5916.09,"Тернопільська область"
46.0168,126970,"Одеська область"
3.5,7925.03,"Харківська область"
2.424,53500.81,"Закарпатська область"
0.02,6201.77,"Тернопільська область"
7.0308,6372.48,"Волинська область"
4.7624,3234.78,"Миколаївська область"
15.8905,2772.67,"Львівська область"
16.8552,22841.04,"Житомирська область"
6.3227,893.87,"Волинська область"
10.4034,17234.31,"Тернопільська область"
2.0288,1408.25,"Житомирська область"
20.0502,30823.68,"Волинська область"
2.0086,688.5,"Дніпропетровська область"
11.4318,23738.08,"Харківська область"
3.3581,3697.32,"Тернопільська область"
2.8198,5916.09,"Тернопільська область"
22.6475,30771.31,"Волинська область"
4.5242,8522.52,"Харківська область"
0.85,264.87,"Тернопільська область"
3.6466,9861.44,"Івано-Франківська область"
2,5295.46,"Полтавська область"
16.0002,22593.12,"Черкаська область"
